rpm,label
2114,1
2051,1
2011,1
2061,1
1191,1
2036,1
2058,1
2075,1
1261,1
2163,1
1370,1
2103,1
2173,1
2173,1
2177,1
2310,1
2229,1
1456,1
2253,1
2258,1
2291,1
2456,1
2354,1
2284,1
2343,1
2389,1
2429,1
2375,1
2425,1
2494,1
2411,1
2530,1
2357,1
2475,1
2524,1
2503,1
2544,1
2426,1
2607,1
2669,1
2657,1
3451,1
2597,1
2553,1
2643,1
2680,1
2604,1
2695,1
2697,1
2722,1
2828,1
2806,1
2711,1
2747,1
2715,1
2867,1
2758,1
2815,1
2836,1
2838,1
3612,1
2919,1
2950,1
2897,1
2079,1
2959,1
2830,1
2953,1
2992,1
2919,1
3008,1
3002,1
3035,1
3046,1
2987,1
3794,1
2893,1
3068,1
3070,1
3065,1
3062,1
3022,1
3016,1
3113,1
3137,1
3153,1
2396,1
3209,1
3230,1
3259,1
3135,1
3187,1
3156,1
3211,1
3266,1
3181,1
2395,1
3313,1
2406,1
3221,1
3264,1
3263,1
3321,1
3330,1
3297,1
3294,1
3164,1
3283,1
2590,1
3393,1
3435,1
3291,1
3329,1
3364,1
3347,1
3358,1
3362,1
3403,1
3450,1
3491,1
3424,1
3476,1
3339,1
3438,1
3454,1
3408,1
3383,1
3475,1
3427,1
2645,1
3627,1
3528,1
3448,1
3412,1
3491,1
3531,1
3456,1
3448,1
3410,1
3475,1
3433,1
3439,1
3500,1
3450,1
3528,1
3534,1
3484,1
3577,1
3432,1
3515,1
3519,1
3667,1
3472,1
3534,1
3559,1
3501,1
3544,1
3443,1
3517,1
3490,1
3419,1
3501,1
3501,1
3526,1
3546,1
3384,1
3567,1
3427,1
4336,1
3428,1
3476,1
3443,1
3436,1
3528,1
3362,1
3477,1
3432,1
3450,1
4304,1
3470,1
3469,1
3464,1
3437,1
3369,1
3450,1
3442,1
3514,1
3435,1
3467,1
3455,1
3336,1
3386,1
3431,1
2576,1
3388,1
3365,1
3366,1
4128,1
3359,1
3408,1
2542,1
3307,1
3348,1
3334,1
3371,1
3336,1
3379,1
3364,1
3356,1
3335,1
3246,1
3292,1
3284,1
3264,1
4014,1
3273,1
3197,1
3080,1
3151,1
2420,1
3266,1
3232,1
3137,1
3153,1
3199,1
2294,1
3122,1
3137,1
3175,1
3182,1
3162,1
3027,1
3143,1
3058,1
3144,1
3101,1
3085,1
3100,1
2957,1
3083,1
3004,1
2986,1
2974,1
2943,1
2999,1
2937,1
2996,1
2996,1
2881,1
2914,1
2913,1
2892,1
2912,1
2892,1
2940,1
2843,1
2936,1
2784,1
3659,1
2754,1
2706,1
3438,1
2785,1
2661,1
2723,1
2702,1
2626,1
2763,1
2732,1
3405,1
2499,1
2661,1
3406,1
2561,1
2605,1
2621,1
2536,1
2481,1
2638,1
2527,1
2506,1
2461,1
2520,1
2520,1
2452,1
2478,1
3214,1
2421,1
2408,1
2318,1
2385,1
2390,1
2351,1
1635,1
2342,1
2279,1
2228,1
2266,1
2369,1
2257,1
2124,1
1332,1
2192,1
2182,1
2151,1
2149,1
2127,1
1315,1
2139,1
2094,1
2038,1
1964,1
2061,1
1913,1
2054,1
2014,1
1949,1
2029,1
1910,1
1930,1
1941,1
1879,1
1870,1
1866,1
1882,1
1756,1
1795,1
1777,1
1727,1
1738,1
1744,1
1835,1
1620,1
1827,1
1719,1
1656,1
2420,1
1719,1
1700,1
1683,1
1663,1
1620,1
1578,1
1526,1
1587,1
1599,1
1583,1
1495,1
1572,1
667,1
1438,1
1423,1
1450,1
1381,1
1387,1
1415,1
1441,1
1372,1
1418,1
2122,1
1387,1
1328,1
1339,1
1335,1
1340,1
1290,1
1307,1
1304,1
1197,1
1307,1
1216,1
1158,1
1233,1
1177,1
1108,1
1140,1
1194,1
1117,1
324,1
975,1
1044,1
1091,1
1047,1
1036,1
1148,1
987,1
944,1
1023,1
1026,1
939,1
904,1
988,1
865,1
886,1
919,1
925,1
961,1
945,1
886,1
865,1
878,1
900,1
825,1
780,1
857,1
860,1
781,1
1572,1
823,1
779,1
1539,1
790,1
749,1
641,1
801,1
690,1
699,1
715,1
695,1
721,1
664,1
735,1
696,1
616,1
649,1
604,1
634,1
611,1
541,1
624,1
626,1
675,1
520,1
552,1
585,1
554,1
537,1
535,1
526,1
642,1
636,1
574,1
593,1
598,1
598,1
505,1
623,1
559,1
458,1
531,1
-234,1
517,1
537,1
513,1
505,1
591,1
540,1
513,1
511,1
502,1
584,1
481,1
567,1
508,1
514,1
543,1
471,1
-303,1
474,1
551,1
530,1
523,1
581,1
470,1
447,1
515,1
473,1
495,1
584,1
542,1
629,1
493,1
-233,1
1332,1
508,1
-302,1
566,1
558,1
-321,1
552,1
541,1
454,1
1319,1
525,1
537,1
547,1
531,1
551,1
580,1
557,1
527,1
607,1
510,1
486,1
578,1
684,1
520,1
522,1
-169,1
642,1
587,1
721,1
687,1
1418,1
642,1
607,1
699,1
712,1
621,1
715,1
672,1
765,1
722,1
702,1
-242,1
731,1
736,1
779,1
760,1
778,1
691,1
805,1
707,1
698,1
694,1
724,1
836,1
836,1
1567,1
803,1
947,1
830,1
902,1
807,1
945,1
849,1
913,1
884,1
971,1
148,1
974,1
888,1
927,1
1745,1
892,1
1067,1
1038,1
184,1
966,1
979,1
1832,1
1123,1
1110,1
183,1
1161,1
1163,1
1114,1
1198,1
1194,1
2017,1
378,1
1199,1
1199,1
1249,1
1243,1
1242,1
1246,1
1224,1
1278,1
1283,1
1273,1
1340,1
1312,1
1255,1
1331,1
1342,1
1311,1
1512,1
1410,1
1442,1
1487,1
1487,1
1426,1
1492,1
1485,1
1610,1
1508,1
666,1
2300,1
1566,1
1653,1
1601,1
2422,1
1629,1
1583,1
1688,1
1723,1
1725,1
1593,1
1661,1
1750,1
1690,1
1757,1
1713,1
1796,1
1795,1
1806,1
2534,1
1801,1
1000,1
1871,1
1929,1
1810,1
1833,1
1991,1
1928,1
1924,1
2039,1
2020,1
2002,1
1946,1
2033,1
2078,1
2117,1
2961,1
2048,1
2172,1
2237,1
2141,1
2091,1
2256,1
2140,1
2999,1
2248,1
2248,1
2335,1
1468,1
2361,1
2312,1
2350,1
2366,1
2252,1
2254,1
2415,1
2413,1
2435,1
2431,1
2510,1
2413,1
2426,1
2523,1
2434,1
2474,1
3279,1
2578,1
2518,1
2443,1
2571,1
2621,1
2575,1
1892,1
2625,1
2690,1
2724,1
2586,1
3424,1
2670,1
2738,1
2722,1
2727,1
2813,1
2719,1
2673,1
3535,1
2883,1
2805,1
2758,1
2857,1
2889,1
2868,1
2969,1
2956,1
2880,1
2874,1
2904,1
2879,1
2158,1
2968,1
2943,1
3056,1
2958,1
2972,1
3022,1
2929,1
3039,1
2954,1
3048,1
3103,1
3054,1
3000,1
2977,1
3087,1
3052,1
3094,1
3219,1
2255,1
3131,1
3168,1
3259,1
3167,1
3125,1
4044,1
3194,1
3137,1
3216,1
3215,1
3255,1
3244,1
3231,1
3345,1
3249,1
3311,1
4100,1
3352,1
3253,1
3321,1
3342,1
3361,1
3337,1
3409,1
2591,1
3310,1
3299,1
3337,1
4191,1
3350,1
3452,1
3498,1
3369,1
3322,1
3380,1
3395,1
3380,1
3385,1
3468,1
3447,1
3391,1
3444,1
3539,1
3377,1
3497,1
4234,1
2673,1
3476,1
4229,1
4387,1
3452,1
3420,1
3483,1
3511,1
3450,1
3465,1
3497,1
3468,1
3472,1
3476,1
3441,1
3530,1
3457,1
3555,1
3472,1
3522,1
3522,1
3499,1
3560,1
3501,1
3544,1
3467,1
3538,1
3537,1
3410,1
3553,1
3487,1
3589,1
3495,1
3561,1
3571,1
3447,1
3447,1
3471,1
4213,1
3431,1
3456,1
3538,1
4267,1
3455,1
3554,1
3477,1
3416,1
3462,1
3519,1
3419,1
3460,1
3467,1
3363,1
3376,1
3395,1
3450,1
3381,1
2623,1
3477,1
3408,1
3392,1
3358,1
3366,1
3436,1
3396,1
3318,1
3292,1
3397,1
3314,1
2522,1
3356,1
3260,1
3374,1
3326,1
3368,1
3225,1
3396,1
3252,1
3352,1
2445,1
3251,1
3247,1
3278,1
3199,1
4023,1
3159,1
3272,1
3180,1
3303,1
3230,1
3166,1
2308,1
3234,1
2346,1
3189,1
3141,1
3146,1
3120,1
3171,1
3054,1
3069,1
3101,1
2235,1
3086,1
2987,1
2955,1
3090,1
2982,1
3015,1
3011,1
2931,1
3017,1
2892,1
2902,1
2919,1
2919,1
2977,1
2895,1
2974,1
2949,1
2836,1
2873,1
2682,1
2734,1
3600,1
2848,1
2754,1
2775,1
2890,1
2770,1
2666,1
1962,1
2731,1
2564,1
2642,1
2652,1
2659,1
2597,1
2657,1
2546,1
2515,1
2533,1
2596,1
2498,1
2572,1
2549,1
2542,1
2505,1
3205,1
1711,1
2512,1
2463,1
2443,1
2320,1
2314,1
2351,1
2356,1
2321,1
2350,1
2358,1
2243,1
2307,1
3040,1
2253,1
2199,1
2286,1
2210,1
2166,1
2119,1
3006,1
2118,1
2136,1
2025,1
2139,1
2033,1
2077,1
2030,1
2863,1
2095,1
2014,1
1995,1
2781,1
1900,1
1891,1
1998,1
1913,1
1038,1
1914,1
2717,1
1857,1
1820,1
1882,1
1814,1
1834,1
1804,1
1865,1
1819,1
1711,1
1761,1
1696,1
1815,1
1728,1
1703,1
1758,1
1652,1
1660,1
1649,1
1528,1
1635,1
1620,1
2352,1
1662,1
1535,1
1570,1
2324,1
1516,1
1423,1
1469,1
1446,1
1469,1
1414,1
1319,1
1428,1
1399,1
1382,1
1351,1
1343,1
1426,1
1323,1
1218,1
1281,1
1215,1
448,1
1250,1
1240,1
1218,1
1162,1
1238,1
1186,1
1252,1
1173,1
1153,1
1066,1
1058,1
1104,1
1111,1
1124,1
1045,1
985,1
1093,1
965,1
1055,1
1129,1
910,1
903,1
1037,1
868,1
917,1
977,1
931,1
919,1
866,1
1024,1
820,1
70,1
956,1
926,1
45,1
855,1
863,1
-66,1
833,1
799,1
888,1
730,1
793,1
808,1
831,1
713,1
675,1
727,1
716,1
713,1
639,1
688,1
-58,1
710,1
645,1
-131,1
735,1
557,1
651,1
679,1
691,1
566,1
-137,1
546,1
662,1
1434,1
540,1
-271,1
617,1
593,1
-246,1
615,1
564,1
655,1
601,1
523,1
672,1
553,1
466,1
470,1
581,1
522,1
507,1
632,1
500,1
559,1
424,1
568,1
1285,1
-277,1
580,1
464,1
547,1
520,1
546,1
442,1
467,1
546,1
507,1
504,1
485,1
534,1
555,1
533,1
590,1
495,1
513,1
520,1
540,1
